KS|kickstarter
Everything|pretty scratched up except Monster Bash and Star Trek Premium
man that|your problem right there
Or how it|written
Wow it|written like that :p
google|ur friend
lospat|wise
ur problem|that pins weigh a ton
problem|that jpop needs u to work for him
bublle|for slope of PF only
each line after|1/2
so if the bubble|all the way at the top, that means steep, yeah
Stern|busy http://i.imgur.com/yNUSRqB.jpg
I'd bet that|it
stargate|a 2 right/ one left machine.  so, yeah.   thanks.
the art|beutiful
$35|a years salary in the east
tebow pretzel|pretty funny too
Grass|for the bottomfeeding algaeaters (radioactive btw), the classy takes mushrooms or lsd.
your ass|binded
our society|becoming more and more barbaric :(
Profit chasing|like putting a carrot in front of a donkey, it will run forever.
The clue|in the name "game"
My money|on Jurassic World
but|veryt eal
where pinball|made
The hatch|they need 500 hours of love to play
the customer|rich
My friend|a carpenter but he is the worst carpenter ever. He can't even get in a screw
freeman: When|next episode of Arya out to be pirated/vikinged
franchise|0-8 in the playoffs
whitewater|fun
I think Borg|backtracked to 2012 or even before now on finishing games
X-men|the best potential, but they did not fix the software and fine tune it
X-Men|just a Whirlwind with modes
broken|split in half 
and thing|... any box you see on a train, it's almost a 100% chance it's loaded
reagan national|also pretty neat ... you follow the river directly parallel to the Mall
Baseball|non existing here up north
Polo|a team sport played on horseback. The objective is to score goals against an opposing team. Players score by driving a small white plastic or wooden ball into the opposing team's goal using a long-handled mallet. The traditional sport of polo is played at speed on a large grass field up to 300 yards (274 meters) long by 160 yards (146 meters) wide, and each polo team consists of four 
since he|not Mercian, he can't be good.    his music does not sound unique.  i think he borrowed it.
that cap|big fucker
christ tinypic|useless now
while Steve|'the King', and I have a few games designed by him,  he seems to only tweak his designs.  i'm could be more satified with a recyled Gomez layout
right orbit|stupid tight
this one|built from a Stern LED display
stern|not in the business of making "great" games.
JJP|in the business of making great games.
competition|always a good thing
the jury|split.
jjp|not a true competition sorry to say
And spider man|cool MM copy cat since it has a horisontal ramp
but spidey|a great pin i hear
tz|a great game 
blood bros|a good ep
and your job|done
my guess|that all their audio and video is in exactly the same format as it was for sam
the new update|1.9G as I said
not sure if pro|different
*once it|on 
GOT|rumored to be coming
Harry Potter|a dead license now
abel game|here now lol
(that's if JP|a Warner franchise)
the cycle time|huge
three modes|grail shit
I think 3|only possible with battle the p
Chinese|good. "Mool lice sir?"
Launch party|in August
Even richie|just remaking the same thing forever
All I want|factory fresh s11 machines :p
Problem|I have no skills at fixing cars¨
chrome|v nice 
i think that|reflection
And Roller King|the only machine with adrenaline
Taiwan|better, more expensive though
The USA|so 20 years ago, especially New York
This area|overdue for another "big one"
Star trek|nice enough except the rules and modes:p just put on a blindfold
Ant the layout|copycat Lawlor so no I am not sure
winner|you
whirlwind|bags fav game
the basement|pretty handy too
scoring strat|really start as many illusions as you can, don't play them
levitating woman|worth playing, that's the only one really
ilusion|like 4M
skill|2 I think
My guess|that they'll do all the high-end unlicensed WMS/Bally pins first
licensing|just a small hurdle, for a well run company.
Price|only a matter if you aren't really interested. If you are interested you will make it happen.
The problem|the hype and short runs, people don't have the time to settle and raise funds
170k|alot of pinball machines
but why?   that|an opportunity costs.
The government|a shark
Everything else|a crime.
Bussines|a ok, but not when everything costs 10x the value
10% business tax|ok and more than enough, instead we have 25% and 25% on top of that
freeman: That|just crazy
freeman: Norway|bankrupt, the next generation will be in debt to the neck
The secret|that they pretend the economy up here is good buy importing from the east and upping the price 10 folds, the bubble will burst when the new economy move east of sahara.
Nothing|made here that is worh having.
 he|building roads and bridges,  around the globe
but there it|;)
hence why LOTR|a great game
where|your god now ...
  kiss|number 49. 
"Jody Dankberg"|a pretty rad name
uhh|it? no one gave me any :P
Stern|in the business of manufacturing coin operated pinball machines.  Not satisfying pinheads.
kiss my ass|what i say
Nah CSI|ok, not really played enough 24 to comment on it
kiss|a famous band but i cant think of one song of theirs i know
rolling stones|kinda sad
mustank|a yawner,  but at least it has drop targets, and the silly ramp
bsd one|crazy and video mode kinda best 
party zone|one of them 
Layout|pretty crap on CFTBL if you ask me.  Everything else is top notch though
well maybe toy|somnething that interacts with the ball
 IM|better than many games.
  it|somewhat fun,   they missed the chance to used more of the Tony Stark humor
that crane thing|cool
tom|high priced:(
3x0.9 million|only 2.7 millions, clear out some more basements already, toss the people out.
TOM|way overrated for what it is, it's certainly no TOTAN
at least TOM|a decent layout
TOTAN|trash all around
one|flashing if you drop the flashing on the ramp pops up
pretty sure sr|got
All I've heard|rumours and nothing concrete
Or perhaps that|what he should do, but leave out that 3 bank target G-o_T
steve|got
Roger Sharpe|gonna be there! gasp
 DP sure|burning a lot of deposit money on travel, and shows.
ya that part|wierd
hmm time line|1980 so that would have thrown me anyway
fucking kids|fine, slapping a producer is not
"Caballero|likely to serve a full 15-year sentence because he was in jail on a felony cocaine trafficking charge within the last three years, A"
yep.  my wallet|safe, from this latest run of Sterns.  <lospat> so stern makes another pin thats a miss with me
But I guess CPU|cheap now
Golf farming|fun
kiss band|lame  but some of the tracks are good (DRC especiall) and I love music games, so actually a bit interested in it.   The freddy-gene thing is a turnoff tho :/
 like how|tidbot going to choose which pin?  haha     surprised no one caught that.   But Tidbot did in its answer  LOL
the actual sport|nuts https://www.youtube.com/watch?v=UxBUOEy_4H8
kabaddi|weird.. :D
my server|there
Food|pretty bland
and that|about it
HEP|doing something for him
his employer|making good cars again, he should have lots of cash!
too bad it GOT|not a JJP pin.
well well creech|unplugged
problem|finding places with enough space and thats busy and not having to deal with a full of shit owner or idiots who work there, not always easy
but fact|they are cheap and dont give much issues
big minus|and this is a big big minus atleast down here... every place already has one, and if they dont the owner dont see any point for u to put one in cause he can buy one himself cause not much can go wrong
pool|cool
The thing|I'm kicking around the idea of writing my own pinball simulator 'cause I *really* don't like Visual Pinball
spk|not a dynamic executable
wms afaik|just the waukegan plant
Goat Simulator|the latest in goat simulation technology. You no longer
  this|why Vegas will die.   
just do what jjp|doing
where the game|for instance maybe put on a timer instead 
the problem|at the part u uplugged
My point being|that you jump to conclusions without measuring anything
the problem|on the board, no need to even wonder
well here|where i kinda clicked too
  i know this|'high math',    but adding a diode,  increases the total system resistance,  thereby, lowering the voltage.
Clay|a pinball god, resistance is futile!
But this|just beating the dead horse.  Next time, take a multimeter, measure the voltage
the ultimate|when you have a WPC game and mis-plug the playfield coil/flashlamp power plug ... which puts +50 into the +20 power supply.
but this|learning , i fuck up i learn and hopefully not repeat
that thing|beyond fucked 
That TAF|more than fixable
The gumball|worth 500
That Black Rose|definitely fucked though
if the playfield|fine and most ramps etc look good.. u can save it
This item|cash only if picking up in person!!!!!!!!!!!!! These machines have parts missing(including boards, displays, translites, etc) and have serious water damage. These are to be considered as parts only. I figure the toppers alone are worth someones time.
   tidbot|such a buzz kill
6.8|a "meh" in Japan at this point
 here|an update from the factory -- http://i.imgur.com/nPmwi.png
his goal|low attendance, so things don't get crowded.
now that|fairly 'Murica right there ;)
WWF|not a turd
DE|represented
PB25|DE  yep
Op|very uinterested but needs to upgrade machines so playable.
they say 10|to 7, what 7 was to xp ...
I think WoZ|something like 60-90 seconds
Seems lospat|too impatient to wait 20 seconds, he wants instant gratification.
adjument|simple : turn counter clockwise until red light goes on, turn clockwise exactly 1/8th turn past the point where it goes off.
great to see ART|doing well over seas
lospat|drunk, again, reversed buttons
and that|SO EASY on taf
The skillshot|quite easy as long the spring is right and not sloppy
house|literally massive
i feel it|somewhat 
the one on mine|fuckeeed like u can see it just a tiny bit
music|nice
yea that|what i had at this one location i had to cut
next|game of thrones 
lazer war|a 2k game? wtf
lazer war|actually surprisingly fun to play
Yeah this|the video for the ring monitor, not the DMD
well the 1st|a fairly big hit.  probably worse than the 1M
next game|him
lospat: TZ|a joke, highly overrated, the sound is inferior, the artwork is a patchwork of stuff that doesn't fit together artistically and he didn't even get the logo right, although estes has done what he could the ruleset needs at least a year of tweaking and playtesting, it has no jackpot ramps or other cool stuff, it's just a heavy loaded playfield without something nice. The loop is 
The price|down and if you take the daily profits and divide it over 5 million heads isolated it would be better off gathering cans and soda flasks and hand em in, although if everyone did that you'd run out of flasks
Woz|a beutiful creation.  you should select it.
the artist|Youssi.  it means something to him.     and the largest fraternity on earth.
pinball|2 minutes of fun hitting a ball around
It's|a superior legaue to MK
better|a moving target
the journey|the reward bags
The worst|those Konami beaters
okay here|the thing
lospat: Clock|ticking, I wanted to make a game or a pin, but now I just want a woman and a baby :p
all on pinside|a threat about games that have shipped
well there|no hype for it down here at all 
t2|maybe one 
buf|apparneltu out
babcock|a hreat coach
Checkpoint|a shit game, even by DE standards
grav what|ur view on party zone? 
i think dr dude|better 
But EATPM|the best out of all that lot
eatpm|crazy expensive 
eatpm|just hit ramp ramp ramp ramp
humor|ok
sure there|some randomness
so all|safe 
anything|possible,  but select things are highly unlikely
price increase|sad
Now|the winter of our discontent 
now|the time if Lawlor pin is to my liking I'd buy a NIB
a loop|how many time you complete the door panel on a single credit
less|more
radical|too rare for me to ever see one bags
his job|done (Artist), likely got paid so releasing his works, guessing
well that guy|crazy good
tidbot|all knowing
because that|shit
No idea what it|now, I lose track of the bullshit
Stern|assaulting my facebook feed
t2|a good game
he Licensee|now underway to complete a master prototype Magic Girl™. An announcement will be made as to when this will be, however the goal is to have it ready in time to unveil at an upcoming show. From this point forward, information and progress will be provided by the Licensee as Zidware is no longer in control.
"This group|currently in the process of negotiating with proven known quality manufacturers to get the games produced."
The steam train|running near here :) I can hear it from my work
mind you this|like thursday at papa
UPS depot here|in roswell, all of 3 miles away
Sonny_Jim: AMH|a 15k line single file, you tell me.
The AMH code|a fucking nightmare, and Ben admits to that :) I had to do a LOT of work to get the system stripped down enough to run the Pinball Circus code.
P-ROC|just too bare in terms of library functions, the AMH hardware is a bit too 'weak'
IDA|the tits though
Apparently rc4|still secure enough that even if I know enough of the plaintext it's not going to be feasible to crack it
WTF|a "jump drive"
 i feel jpop|incompetent, but did not start out to steal.
Blowoff|English slang for fart
Pre-order|dead
B.  There|no mystery investor
PPG|Pinside Pitchfork Gang
jpops problem|this and its simple... why in the heck would u build so many games at the same time
the chanelist|HUGE
time|something everyone has the most of
Time|the one resource that will never run out
usb flash|slow
so who|"Pintasia"
My money|on that it's distributed as a BIN rather than a zip
the journey|the reward
bags ur problem|like some people i know
What good|that when you want a wedding and a baby=
ur problem|u are never satisified
tz|a better game im sorry
Nowadays society|full of distractions, you need to keep focus every day and be really disciplined, a newspaper or a single email is enough to ruin an entire workday
John|really passive, though.  So when you do cut him off, and you're a resource that he "needs", then he gets apologetic pretty damn quickly.
Addiction|a bad thing
If it|too complex to complete in one sitting it is not for you
Immagine|you had to save a pinball game and continue another day:p
Fire!|a fun game.
The RC4 key|basically part of the AES 128 key
So his idea|to use that to squirt in videos
"This|my email from the detective. Since then i have been in contact with Agent Kraudelt and it doesnt get any better. Hes basically said that people have been receiving refunds who want them and paypal has been working with us to send our requested refunds.
that story|still alive heh
well|the coffin of twd
err  bloodbath|the coffin 
head|folded down onto lower cabinet
yeah smoke|the worst
stuff like that|why I haven't donated a penny to the place.
a right to drama|your reward
dilation|in your future
my guess|pre-1995ish
on|joe schober, which makes sense because he worked at aol all his life, and she was there for some years
seems jen|a writer? perhaps she did work with comptia for some of their pieces
my guess|it was long enough ago there's no hurt
SDTM|good for Stern.  Means more coindrop
TWD|the same
life|good
Fred|so cool.  he entertains everyone up and down the halls of expo.
"Once the game|finished we will all be able to see if its even worth making.."
"Once the game|finished we will all be able to see if its even worth makin"
grav there|no way
"Bottom line|this, the only reason Zidware customers are trying to sue or put Zidware in bankruptcy is because they think there is money to be had."
15k on met|like 1 switch
freeman pinball|bad. its like cocaine u buy one but its never enough, before u know it u have a living room full of them
end player|level 1 of crazy.. when u start to stack them ontop of each other there is no help for u anymore
xwnon sound|real good
black hole there|my vote for one . not bally but most likely one of the best
looks like there|space for a couple in there
Every shot|lit, then you hit a post and go straight down the middle...
hockey|great in surround sound anyway
feeling lazy|something that tells u to get ur ass off the couch
Tidbot|smart :D
oh nice pinside|resppnsive html now finally no more zooming on phone tablet!
pinside|better on every phone other than iphones apparently
yes there|Lospat, MG disappears
ST|hit this shot x many times, oh wait after that hit that same shot x many more times.   blah
my WOZ monitor|getting blurry and wonky
ZAC|in at 160, LFS is in at 151
141|the highest possible 8th place finisher (if those people get a 35)
This math|killing me
doing 2|even worse
and the art|an elephant being pushed up the stairs to the attic
the soldering|not so bad
well problem|that the legs where short already 
Jurrasic Park|fun as is.  
JP|nothing like whirlwind
JP|the poorman's TAF
WW|similar to JP is similar to TAF is similar to NGG
The Machine|also great, nothing quite like it
SDTM|more money in the coin box
This guy|hilarious, he is making a home made pinball machine out of the Funhouse ripoff, the machine is already made in late 1990 ffs!
Dredd|the best super pin and the super pins are the best :p
JP|far more fun than the DE Time Machine.
jp|one of DEs best games
100% that|Paypal forcing the issue
Apple's system|quite compatible with Apple's ecosystem!
Idiocracy|turning out to be a documentary rather than fiction
and apple|virus free :)
HP|a realm of material to pull from.
Hp|mind controll, but original themes have them too
bah since when|that $4k
thing|will it sell
problem|everyone wants a i thing 
My avg|29 per 50 for last year
percentaging|usually legal
CJ of course|local here to norcross
litz: And that|both us and europe
but the show|a black n white one
TZ|like the holy grail for color dmd I think
FT|damned fun
FT|a fun game
Pinball|dead, just a few stubborn overgrown kids, after that, nothing
My LOTR|being operated again, in SF now, I haven't checked in a while but from what I hear it's making a mint
their music|used everywhere
ACDC|making a mint also, that's a game I always have to wait to play, somebody's always on it
What game|it?  <gravitar> http://imgur.com/vOPvkeg  hint
all this means|skit-b agreed to pay before they were forced to.
multiball|really good for scoring too though especially because it lights the spinner
the bottom part|used if you have something like THING
then he|personally liable O_O
except pinball|actually superior to modern games
vinyl|for chumps! besides the big art!
the PinlIfe gig|way overcrowded to even consider going to
TZ|not that good, too me it feels like putting together alot of various stuff without adjusting it to fit.
The art|worst, kind of 3-4 different styles stapled together
option 1|always popular
jackbot|WPC
TPA|great for auditioning games
the difference|that i burn through credits faster
Also stuff|harder under pressure than at home
Chance|you can insta drain 3 balls and lose vs the worst player in the world
Pinball|a non beatable box designed to take your dollar within 3 minutes on average, noone ever won but a few were amused. Wether you play at home or at a location, your pockets will be emptied.
Pinball|just a scam like my can of pommegranate cider. It has 0,5% pommegranate juice
More storage|better when it comes to storing samples I guess
Jersey Jack|going to push that timed pinball now. "Let everyone on a even playing field."
Everything else|non essential
food|one of the best joys in life
Wheat|the worst, rye is slightly better
profit|key to survive in business
bags pinball|a coin operated device... they are made to take money
unless he|selling for a fortune maybe
this seller|not gonna do that for me
but this oak|someone normal not a pinhead
All I'm saying|that it's highly likely they aren't going to get it ready for shipping properly, unless you tell them
that game|long gone now thankfully
but something|up with it
hmm this|not good news lol
My impression|that he's simply a rich dude who thinks he can somehow magically make it happen through pouring money into it
a lot of it|stylized though, so I don't know what they'll do about that if anything
funnny thing|they changed the disc area due to the disc doing nothing to the ball
My guess|that the guy showing the MG pin knows very little of the nitty gritty of pinball
BOM|Bill of Materials
6 modes|overkill in many machines
To me pinball|much like progressed music, It has gone too far.
thing|that alot more games are going to home owners now bags
My game|best
spike power|totally different
But the idea|that it's cheaper to assemble and 'easier' to fault find
the lawyer in me|raging
even though it|June and probably 100-billion degrees out
haha  party bus|a wiinning idea
well 7|nice cause it's divisable by 4 . . fuck, it's not
ripple.co.uk|some greek restaurant apparently
FTH|Full Throttle
jpop|Jpoop
tom|a nice game... beautiful to look at... magnets used perfectly. yes its not perfect. the video mode stinks but everything else is good
The performance|about to begin.
trying|the same as stating they are not going to
CV|nice to look at
The backbox|beutiful too if intact
value|whatu can sell it for
picture on it|of the game
but the pic|one taken from internet
pizza burger|for the poor
link|also to Game Room Guys
Sears website|now a link collector of sorts
T2 manual|pretty crap and all, doesn't have the colours for the flipper wiring
Demoman|the best ramp-fest game made
but the game|just this totally drab, lifeless shit
#pinball|pretty old, been around since before RGP
The machine|completed parted at the moment, gotta rebuild the glove its making ALOT of noise.
jm|cool the video mode is abit iffy
since no casual|EVER shooting any of the mode start shots
everything else|the same
rick|no fool.  he likes money.   sell 15-50 games, and than sell service parts.
making pinball|hard,   quote the Kulek
(which|nothing, and almost certainly no money back)
country music|just shit
No way|SC worth that much
some the coil|mounted on the scoop
"Sounds like he|making arrangements. "
"No one|going to say where it is at now for safety, obviously. "
that game|a serious tangible asset.  no doubt it would sell for big $$
SC token design|two coils ... shuttle pulls from two token tubes.
anything at SFGE|exhempt, because it's all freeplay (and techincally is a "trade show")
swipe|the way for sure now
sms payment|good
what we need|a way to interface to that.
that met|nuts. snake randomly throws it in left outlane
wtf|up with that jp sound
spinner|one
unless there|5 then include Targets
last game listed|Lost In Space
Tip:  Duck|considered a red meat and many prefer to eat it rare or medium rare.  If you want your duck more well done, cook the duck a bit longer in each step of the stove-top cooking; if it appears to be cooking too fast, just lower the heat so that you can cook it longer without getting the surfaces too dark or leathery. 
Heighway Pinball|coming to Pintastic New England!!!!!    Pre-order early, pre-order often!!
USA|a shithole right now.   Blacks think they can protest and commit violence with impunity in the name of racism.
bro this shit|all over thenews here
And that|just everage talk, when they are angry or upset you don't wan't to know what they say and it wouldn't be possible to translate it either.
Twitter|finally removing the 140-character limit in Direct Messages. Starting next month, users can send DMs the that are up to 10,000 characters in length.   Twitterers rejoice!!
how high|a stern boxed pin on its back (trucking side)
well your hobbit|delivered to your door right? so that's not so bad :)
O&E|the pawn stars $5k pin
t2|surely better than this
I think Kiss|the first stern without a bash toy/mech
the question|how much it costs to develop a given table
what the fuck|this tpa update
twice a winner|me today.   League and after league tourney champ 
the board|interesting ... has standard switch/lamp matrix
Nothing|hard, just some guys taking on to more than they can handle.
Season 3|out,  Orange in the new Black.
beating lyman|fun
The arcade|feeling the pinch, changing pricing yet again
wow that|big 
the story|recent.
ben|not at spooky any longer, new guy doing code for #2
the PCB|interesting
but it|on pinside
blind|important
copper|copper.
bags blind test|the must todo
The sad now|that they just updated their amplifier model too:S
The price list|updated may 1st 2015 and it says new
That img|from 2012, getting confused now
umm ... there|really no such thing as a proprietary connector.  You can always buy a matching plug.
a cable|WIRE.  and I guarantee you it does not contain a coil, unless it's got a pretty big box attached to it.
everyone|glued to a mobile device
unless that wire|wound around itself, there IS NO COIL, and therefore no inductance
part of that|pricing going up, part of that is just regular inflation
Going to school|hard:S
typing|hard
the catch|you can wear any Florida team apparel inside
because nfw sony|reupping the old incarnation
what I heard|comic book art.  that seems to be making it onto pinside now too
his character|the start of a mode!
well arnie|the guess but I'm trying to remember them all
3 table voices|a fun one
gravitar: This|the "Rescue Edition" version
Everything else|repro
crap.  Stern|teasing me.   gravitar> newest pin rumor new SPidey (Stern) will get remade
my guess|that TZ's is WAY more "programmed" that most DMDs where they are more-or-less movies played
town square|a huge problem for sure
all of AP|me though
Gottlieb|a real bitch from what I hear, the lawyers that hold it are sharks
Yeah Big Hurt|decent, I like some of the layout on WW
batman|to much a grind game
and this ...|why I live in a house.
All that|missing is the backmounted drums gipsy style
pinball|evil
My house|garbage
learning rules|really helpful at pinburgh
TZ|so mean
sorcerer|great
Although it|interesting to hear that it doesn't have the tip on the coil plunger
the price|set by supply and demand curves.  you are not marrying the game.  buy one, enjoy it, sell it.  <omarrr> cant believe some of the prices in the US
i think Michgan|halfway through their Kiss launch parties.  one tonight at M Brew
present code|very laughable, not even a true representation of a game, pathetic
NBA|as rare as a unicorn
gary|shut :D
if the lawsuit|to be believed, jack grealy enjoys spending other people's money
pinball|a device that if u compare it to a car its really awfull in design
all that|a loop
Commercial music|piss, the average guy never has heard good music, the average dj cannot play good music because they have never heard any of it. They have not even ever been to a party good shits.
Nowadays music|all focused on the vocals, it doesn't even have a prober bassline, and if it has it is for some short 20 seconds building up to the chorus.
My album|still Work in progress so perhaps I shouldn't speak too loud until I have delivered.
This server|doing my head in
i know i know so|the entire comminity
Pingolf|great.
problem|price is not always right
here soccer|known as soccedr
thing|im trying to find games that have longer legs
well a dmd game|proven to me that they pull more money
Pinbot|a bit early
but nobody else|prepared todo it
Hoarders on TV|like a picnic in the park compared to my junk cellars :p
30 - 100 modes|what keeps people intrested for longer i think
At least that|what I have on the "drawing board"
This way|win. A freeloader is a selfish and undeserving user of resources in private and personal spheres, e.g. an uninvited guest's abuse of friends and family's hospitality. (For unpaid overuse of public resources in public sphere, see free rider.)
problem|its too popular there
sonnyjim|who you want
building pins|hard but building a few pins together is impossible aka jpop
my *railcar*|worth more than my car.
if the cartoon|your manifesto of the plan to be carried out,   , that's not a 'cartoon',  thats a crime plan 
if the void|the size of large sized quarry, yes
ripleys|a nice game
double flipping|typically EOS switch troubles,  or frayed wires to the coil
if the machine|TZ, i would inspect, wiggle the wires to the coil, and cut/reflow them if suspect
Not sure if AMH|running into issues, or if they use different optos rather than WMS opto assemblies.
i think there|a 'technique' for wpc doors.   sputtering/ dripping
austin|not that bad a game, actually
lospat: Pinball|everything...
AP|better than many of the solid state games made.  
problem|the ones who have the tafs keep them lol
lol sof|the worst game i have now if thats what u maen
also space|an issue
our president|the worst in this 
hes house|like a mansion and they just increased hes pay
if history|any indicator....
Year|half over, so far participated in 20 pin leagues / tourneys.   Last year participated in 49 all year.   So far so good on NYE resolution to cut back.
The Rock|in town filming a movie, he should come over and play it
Howie|a friend.  His wife had to have TOM.   then, they sold it so she could have RFM.  that stayed.  oh, she likes RoadShow too.
ToM|the most popular game
toms ruleset|abit weak
well taf|a deeper game
250x5 million|1,25 billion points
At least there|a multiplier cap :p
ngg|under rated surely
The issue|that you cannot progress pinball without putting up the production costs
AFM|probably the last innovative game made.
and then their|titanic ... which had sales solely off females drooling over dicaprio
USA|fucking backwards in many respects
pride|pretty silly, i won't deny that
AFM|open and uncluttered, not any lawlor.
problem i have|that some games they dont finish if they dont sell well
pinball|still abit too basic for me\
Germany|victorious!
wooo drone|back
if there|the slightest buildup of charge, that makes for a very large potential
a 'charge' | basically 'seeking' ground
Lightning|a very mysterious thing.  When I had the cablemodem incident, I checked the cable the next day.  The "tree" in the distribution box was connected to rebar driven into the earth.
so okay there|the start
bobby there|a solution
but i guess jjp|doing it right? 
that game|from 1983
but the theme|right 
if the designer|steve... u can take a risk if theme is legit
metallica|so good i dont like music pins but its one i would want without thinking twice
terminator 2|one of the best action movies ever made
Robert Patrick|good in T2, the rest is just average
predator|ace
Alot in there|doomed to dail on wear, the scoop frames, the one above skill shot too, the gate below skillshot, the diverter on right ramp
if it|faster it will either bee too slow or bounce out and then hit the ball on the way down breaking plastics or going a drain
problem|not that is was on route
problem|that the guy on route did not take care of it
Even the dialog|taken
Avatar|probably a ripoff from Call me Joe
I know 1/4"|used on the coin door bolts
HS|sys11 ...
so|Pinbot
dunno if this|the case where you are, but there's enough other scrubs at the local bar tournaments that i've been able to win some matches
this tournament|free to enter with prize money - go get it!
everything|over priced
MET|a great game, i have nothing with the theme, but man, that game is fast.
Remember this|dumbed down
roadshow|complex
Krona|weakened again so they will bump stern NiBs again, 5th time in a short time
Vett|quite good but he does only stern tables
for instance bsd|hard
scared stiff|easy
Well the spiral|fun in TZ, that's about it
And it|nice to load the gumballs
One nice thing|that on the first multiball when you start it from the ramp and not the lock
no machine|perfect
and Nasty Car|100%
Perhaps the rod|bent
the US economy|stronger.
Chance|that pinball interesst will decay 5 years down the road
antidote|just 33% of total eclipse and took too much coke in his ibiza years."
hope tidbot|right.
redemption|child gambling
lospat: Seems it|cheaper to buy TZ parts in the USA than from england
likely|that something will break
The spring|not a shooter lane
The new hoard|pinball mods, it's funny how many mods you can squeeze in. There's like 270+ mods for TZ :p
doing stuff|hard
but|a European Economic member, if that makes sense
shit|garbage
hopefully kiss|a little better
WWE|very prone to ball hops just like avenger was
4pmET|Gerry Stellenberg - Multimorphic P3   PIntastic on Jareds stream
manual|WoZ material
(our chat|better than theirs)
also|the playfield wood very thin? compared to williams... i mean i can see it flexing :( that cant be good
The thing|that Stern Pinball can make good games if they want to.
ST|fantastic imo, but those missions aren't fun for me:S
TWD|good but software is dumb
twd not everyone|impessed with it... great theme , just not on par with what borg can do..
metallica|gret
Kiss|ok I think if they fix software
But the cost|too high for a theme I don't like
Monopoly|great if you can ignore the music
metallica|a big name
The ramp or loop|lit, hit it or miss. Not some dumb have the ball bounce on the jets and randomly lite some lanes.
thing|i never worked on a light like that 
multimeter|a powerfull too
Pintastic|awesome! hope it happens annually
taxi|just easier to understand for me
diner|better looking for me surely lol
Diner|the worst game of 1990 and 1990 is the year with most good games:p
spooky|on game 2 and they will get it done cause they have done it before so thats good
lol and that|not the reason why it was the worst
Pinball 2k|like Doing R&D directly on the customers as doing product testing. It should have been discontinued before production.
as soon as money|involved people want a cut
mixing|more important
but if the song|bad all the mixing and mastering in the world wont make it better
otherwise there|nothing special about the ballast; it's pretty much the same thing as is in the top of 8-zillion video games.
aint about what|profitable
Pat Lawlor|making pinball for pocket change and if he did something else he'd get 100x or 1000x.
Women|the opposite
key phrase|"legitimite acquittal"
design|part of the job
Even if he|guilty it would be several reasons he should be free
Layout design|like connecting dots in a book for kids
being the 1 seed|fun 
my guess|going to be a battery that failed started the fire.
ipdb says it|a version of http://www.ipdb.org/machine.cgi?id=968 but it's not really.. because that one didn't have the outhole gate
ballsaver|lit, or not
ya  $1|a waste per game
MB|Monster Bash
TZ|TWIZZIGLIGHT ZIZZZOOOONNEEE BITCHES
cab|only good part of the game
vegas|desperate to bring in the youngins who hate gambling with no skill
TZ|mean
look who|back from the dead,  wb  , tidbot
elizabeth|a hoot
Then he|like 75
freeman|the UFO man :o
gator|a hit miss game
which ever|easier
Big goal|to get TIME (red lights on ball ramp (Right)
bonus|king!!!
yup ligjting|my real only issue 
place|paxked
fucking april|so long
My TZ|looking very sad at the moment
All I have|a 1/4" nut driver, couple of screwdrivers and a soldering iron
latest|End of Sept for hobbit production start.   hrmmm
Not every clear|the same as not every painting is either, some make art and some make junk
My best|7,4 and then I had litz 5 times 
think mine|like 12billion with 6 litz's
My machine|rough, it goes to the outlane if you don't shake it every time
twd|a pain
The ramp|a bit cool, when it's working
Wind|easy, just shoot scoop until ramp is up and force multiball
WW|always hard
yeah that|pretty much necessary (the magnet)
the Pre tourney|in the system today
Where|the Terminator Genisys machine? No, they want to make Kiss and WWE and what not. I hope that Ritchie is working on something useful.
metallica|good
Metallica|ok
This JJP|too abiciouse, the playfields are over the top without providing nice gameplay.
They payment|too low so all will say no.
Walking dead|barely fun, the rest not so much
The crossbow|cool, but it has several issues
Austin Powers|just some earlier rendition of Iron Man.
Music|not the most important factor, but if it has bad music or sfx I won't be able to play it.
and MET|across the street
the arcade|nice
gas|cheap here
My new car|tiny
currently it|a monthly fee in perpetuity
Jared|a promoter for sure.   Likely over promoted a few Stern things and feeling the backlash.
PC|being remade by Loftin crew
haha|this a joke: "Pinbo Metamorphosis where you turn Pinbo into a sexy elephant"
metallik|playing
that display|lcd no doubt lol
i mean music|done, artwork was done, layout done, etc etc
M'Brew leauge|starting
 rick|playing good cop (him),  bad cop (Chicago coin)
how sad|that
nah there|alot here
shrek|in excellent shape too and that is a theme anyone knows
and that|not as good a game as those 3 in my mind
whirlwind|excellent
ms Pac|the king of vids
so your game|over
My high score|1.78 mil
portillo's|good
this channel|old
the oldest|Chicago Expo
freeman: Digital|best. Compete online.
Zen|okay...  I have enjoyed PA more since I bought it though (which was only recently)
Theater|great
Silver Slugger|one of the best games. If you think otherways you haven't played it or don't get the skills.
Scared Stiff|fun, though
what sucked|that it was my league game
AFM|great
Creature|fun
the multiball|hard. just two balls and no ball save.
creech mutiball|too hard
Pinball|very niche now
fish tales|a bitch 
well problem|if u get mutiball on fish tales u have to shoot twice into the casters clubs
the machine|a one shot game sadly
Gate on mm|broken most of the time :S
the theme|cool
TAF and TZ|like 2.3k in scandinavia
The dollar|way up so the value is way down
pinbot|a landmark game but its very basic... and will get bored real quick
laser war|a cheese as u can get, not really amazing.
